,Unnamed: 0,Unnamed: 0.1,Site Num,Date Local,NO2 Units,NO2 MEAN
496,822,4901,5005,2013-09-06,Parts per billion,11.878261
225,551,3465,1103,2013-09-07,Parts per billion,22.7
498,824,4909,5005,2013-09-08,Parts per billion,2.845455
227,553,3481,1103,2013-09-09,Parts per billion,14.504545000000002
228,554,3489,1103,2013-09-10,Parts per billion,12.645455
229,555,3497,1103,2013-09-11,Parts per billion,11.37619
502,828,4925,5005,2013-09-12,Parts per billion,5.857143
503,829,4929,5005,2013-09-13,Parts per billion,5.978947
504,830,4933,5005,2013-09-14,Parts per billion,5.6272730000000015
505,831,4937,5005,2013-09-15,Parts per billion,11.022727
506,832,4941,5005,2013-09-16,Parts per billion,6.922727
507,833,4945,5005,2013-09-17,Parts per billion,10.363636
508,834,4949,5005,2013-09-18,Parts per billion,5.947619
237,563,3561,1103,2013-09-19,Parts per billion,18.186364
510,836,4957,5005,2013-09-20,Parts per billion,3.531818
239,565,3577,1103,2013-09-21,Parts per billion,7.847825999999999
512,838,4965,5005,2013-09-22,Parts per billion,7.468182
241,567,3593,1103,2013-09-23,Parts per billion,21.708696
514,840,4973,5005,2013-09-24,Parts per billion,13.363635999999998
243,569,3609,1103,2013-09-25,Parts per billion,13.486957
244,570,3617,1103,2013-09-26,Parts per billion,12.718182
245,571,3625,1103,2013-09-27,Parts per billion,21.675
518,844,4989,5005,2013-09-28,Parts per billion,22.822727
247,573,3641,1103,2013-09-29,Parts per billion,19.05
520,846,4997,5005,2013-09-30,Parts per billion,18.668182
249,575,3657,1103,2013-10-01,Parts per billion,19.1
522,848,5005,5005,2013-10-02,Parts per billion,5.954545
523,849,5009,5005,2013-10-03,Parts per billion,4.666667
252,578,3681,1103,2013-10-04,Parts per billion,25.45
253,579,3689,1103,2013-10-05,Parts per billion,21.752381
254,580,3697,1103,2013-10-06,Parts per billion,16.82381
527,853,5025,5005,2013-10-07,Parts per billion,21.531818
528,854,5029,5005,2013-10-08,Parts per billion,8.390476
257,583,3721,1103,2013-10-09,Parts per billion,9.2875
530,856,5037,5005,2013-10-10,Parts per billion,13.942857
531,857,5041,5005,2013-10-11,Parts per billion,14.277273
532,858,5045,5005,2013-10-12,Parts per billion,11.4
533,859,5049,5005,2013-10-13,Parts per billion,6.109524
534,860,5053,5005,2013-10-14,Parts per billion,15.32381
535,861,5057,5005,2013-10-15,Parts per billion,26.454545
536,862,5061,5005,2013-10-16,Parts per billion,20.119048
537,863,5065,5005,2013-10-17,Parts per billion,28.077273
538,864,5069,5005,2013-10-18,Parts per billion,26.213636
539,865,5073,5005,2013-10-19,Parts per billion,22.861905
540,866,5077,5005,2013-10-20,Parts per billion,13.477273
541,867,5081,5005,2013-10-21,Parts per billion,10.8
542,868,5085,5005,2013-10-22,Parts per billion,10.363636
543,869,5089,5005,2013-10-23,Parts per billion,4.7454550000000015
544,870,5093,5005,2013-10-24,Parts per billion,4.718182
545,871,5097,5005,2013-10-25,Parts per billion,8.843478
259,585,3737,1103,2013-10-26,Parts per billion,36.695652
260,586,3745,1103,2013-10-27,Parts per billion,22.040909
261,587,3753,1103,2013-10-28,Parts per billion,11.265217
262,588,3761,1103,2013-10-29,Parts per billion,19.181818
263,589,3769,1103,2013-10-30,Parts per billion,31.871429
551,877,5121,5005,2013-10-31,Parts per billion,21.280952
265,591,3785,1103,2013-11-01,Parts per billion,32.119048
553,879,5129,5005,2013-11-02,Parts per billion,23.563636
554,880,5133,5005,2013-11-03,Parts per billion,8.740909
555,881,5137,5005,2013-11-04,Parts per billion,11.045455
556,882,5141,5005,2013-11-05,Parts per billion,22.83809500000001
270,596,3805,1103,2013-11-06,Parts per billion,36.322727
558,884,5149,5005,2013-11-07,Parts per billion,20.427273
272,598,3817,1103,2013-11-08,Parts per billion,40.204348
560,886,5157,5005,2013-11-09,Parts per billion,16.430435
561,887,5161,5005,2013-11-10,Parts per billion,23.23913
275,601,3841,1103,2013-11-11,Parts per billion,37.627273
563,889,5169,5005,2013-11-12,Parts per billion,27.366667
277,603,3857,1103,2013-11-13,Parts per billion,37.563636
278,604,3865,1103,2013-11-14,Parts per billion,38.277273
279,605,3873,1103,2013-11-15,Parts per billion,20.622727
280,606,3881,1103,2013-11-16,Parts per billion,16.363636
281,607,3889,1103,2013-11-17,Parts per billion,18.572727
569,895,5193,5005,2013-11-18,Parts per billion,15.340909
283,609,3905,1103,2013-11-19,Parts per billion,14.980951999999998
284,610,3913,1103,2013-11-20,Parts per billion,24.652381
285,611,3921,1103,2013-11-21,Parts per billion,16.916667
286,612,3929,1103,2013-11-22,Parts per billion,26.209524
574,900,5213,5005,2013-11-23,Parts per billion,19.552381
575,901,5217,5005,2013-11-24,Parts per billion,14.295238
576,902,5221,5005,2013-11-25,Parts per billion,24.5
577,903,5225,5005,2013-11-26,Parts per billion,38.62
578,904,5229,5005,2013-11-27,Parts per billion,31.219048
579,905,5233,5005,2013-11-28,Parts per billion,25.190476
293,619,3985,1103,2013-11-29,Parts per billion,26.195238
294,620,3993,1103,2013-11-30,Parts per billion,20.614286
582,908,5245,5005,2013-12-01,Parts per billion,21.772727
583,909,5249,5005,2013-12-02,Parts per billion,34.636364
297,623,4017,1103,2013-12-03,Parts per billion,22.738095
585,911,5257,5005,2013-12-04,Parts per billion,14.082609
586,912,5261,5005,2013-12-05,Parts per billion,24.6
587,913,5265,5005,2013-12-06,Parts per billion,24.604348
301,627,4049,1103,2013-12-07,Parts per billion,20.814286
302,628,4057,1103,2013-12-08,Parts per billion,19.528571
303,629,4065,1103,2013-12-09,Parts per billion,29.304762
304,630,4073,1103,2013-12-10,Parts per billion,33.266667
305,631,4081,1103,2013-12-11,Parts per billion,30.842857
593,919,5289,5005,2013-12-12,Parts per billion,29.113636
594,920,5293,5005,2013-12-13,Parts per billion,29.995455
595,921,5297,5005,2013-12-14,Parts per billion,35.004545
309,635,4113,1103,2013-12-15,Parts per billion,27.465217
597,923,5305,5005,2013-12-16,Parts per billion,17.917391000000006
311,637,4129,1103,2013-12-17,Parts per billion,31.044444
599,925,5313,5005,2013-12-18,Parts per billion,17.578260999999998
600,926,5317,5005,2013-12-19,Parts per billion,13.691304
601,927,5321,5005,2013-12-20,Parts per billion,29.065217
602,928,5325,5005,2013-12-21,Parts per billion,25.282609
603,929,5329,5005,2013-12-22,Parts per billion,24.547826
604,930,5333,5005,2013-12-23,Parts per billion,28.4
605,931,5337,5005,2013-12-24,Parts per billion,21.118182
606,932,5341,5005,2013-12-25,Parts per billion,24.978261
607,933,5345,5005,2013-12-26,Parts per billion,27.482609000000004
315,641,4161,1103,2013-12-27,Parts per billion,41.96
609,935,5353,5005,2013-12-28,Parts per billion,32.786364
317,643,4177,1103,2013-12-29,Parts per billion,35.22381
318,644,4185,1103,2013-12-30,Parts per billion,44.257143
319,645,4193,1103,2013-12-31,Parts per billion,49.540909
